Date;Collectivité;Instance;Numero delib;Titre délib;Rapporteur;ID élu;Elu;FONCTION;Theme déport;DELIB_URL;Observations
2022-12-05;Ville de Rennes;Conseil Municipal;2022_0434;SUB AUTRES;NOISETTE Nadège;9821-3728;GUILLOTIN Daniel;Conseiller municipal délégué à l'Énergie, au climat, au bâtiment durable et aux matériaux biosourcés, délégué au Quartier Thabor Saint-Hélier;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-12-05;Ville de Rennes;Conseil Municipal;2022_0434;SUB AUTRES;NOISETTE Nadège;9729-3728;ROUSSET Emmanuelle;Conseillère municipale déléguée aux Ressources humaines et au dialogue social;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-12-05;Ville de Rennes;Conseil Municipal;2022_0434;SUB AUTRES;NOISETTE Nadège;17151-3728;DESMOTS Xavier;19è adjoint délégué à la Démocratie locale et à la participation citoyenne, délégué au Quartier Bréquigny;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0164;Culture - Expression musicale, lyrique et chorégraphique – Opéra - Convention de mandat de billetterie avec Destination Rennes;CAREIL Benoît;7313-3728;PELLERIN Isabelle;Conseillère municipale;Convention de mandat avec une SPL;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/2153daa4c16304a41e3d9f6292c62cd8ec3012f8cc83f63177be6a2cc81c63e0.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0165;Culture - Action culturelle - Association Triangle - Convention d'objectifs triennale et pluripartite - Renouvellement - Convention financière;CAREIL Benoît;17152-3728;DENIAUD Marion;20è adjointe déléguée au Quartier Maurepas;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/593be34e8c9780e618be340bfb6bc8ef779ad3d1fe3188659dcf5ac9080b955c.pdf;Motif personnel
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0169;Culture - Action culturelle - Provision aux résidences artistiques - Première attribution de subventions 2022;CAREIL Benoît;9727-3728;PHALIPPOU Catherine;Conseillère municipale déléguée à l'Éducation artistique et à la médiation culturelle;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/b59249935e5a44a122eadbe0a1099b1b88dc14d650775256cf0020df2b4629e8.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0179;Sports et jeunesse - Action socio-éducative - Équipement - Provision Équipements de Quartiers - Première attribution de subventions 2022;ANDRO Rozenn +Affilé?;17121-3728;ANDRO Rozenn;6è adjointe déléguée à la Vie associative;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/af99d2e83bc1bfa48340301cdd6cd514dd35d3d74a0482378fd0110e47fbdeae.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0179;Sports et jeunesse - Action socio-éducative - Équipement - Provision Équipements de Quartiers - Première attribution de subventions 2022;ANDRO Rozenn +Affilé?;9760-3728;LAHAIS Tristan;Conseiller municipal;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/af99d2e83bc1bfa48340301cdd6cd514dd35d3d74a0482378fd0110e47fbdeae.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0180;Sports et jeunesse - Action socio-éducative - Équipement - Provision Locaux Collectifs Résidentiels - Aménagements 2022 - Première attribution de subventions 2022;ANDRO Rozenn;9728-3728;CONDOLF-FEREC Muriel;Conseillère municipale déléguée à l'Enfance, la parentalité et la réussite éducative;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/bf04b0ca8e492f6211efe092660c74dfea1be17f4f34e834194097eae6a010b6.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0182;"Sport et jeunesse - ""Cet été à Rennes"" - Provision Animations quartiers été 2022 - Provision Animations sportives été 2022 - Première attribution de subventions 2022";SEMERIL Sébastien;11097-3728;ZAMORD Priscilla;Conseillère municipale;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/78d2526b6f7c8622576b8f071663f6e116edc44188fa2ee4594043d5f3e206b5.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0185;Sports et jeunesse – Action socio-éducative – Provision Loisirs d'été pour les jeunes – Attribution de subventions 2022;BOUCHONNET Iris;9022-3728;CRESSARD Antoine;Conseiller municipal;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/8b64a86aaeaf392c0c43c3c380596535f724e9f15d9894e77d04f9fad2725436.pdf;Motif personnel
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0187;Sports et jeunesse – Action socio-éducative – Autres actions en faveur des jeunes – Provision engagement citoyen – Deuxième attribution de subventions 2022;BOUCHONNET Iris;9760-3728;LAHAIS Tristan;Conseiller municipal;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/2d2c471041376ec6e33f5f80a3e659677398a3d49416171a8ee7f0a9066ef757.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
